id	pronunciation	character	tone	rhymeCategory	meanings
224	좌	佐	去/上	箇/?	돕다;거들어 주다;도움;돕는 사람;권하다;다스리다;부(副);부차적인 것
225	주	住	去	遇	살다;거처;사는 집;살고 있는 사람;멈추다;그치다;세우다;서다
226	차	?	上	紙	작은 모양;어긋맞게 잇닿은 모양
227	타	?	平	歌	다르다;다름;편안하다;짊어지다;간사하다;나쁘다
228	타	?	去	箇	더하다
229	타	?	上	?	입다;무릅쓰다;끌다;당기다
230	이	?	平	支	아름답다
231	퉁	?	平	冬	성(姓);강 이름
232	동	?	平	冬	성(姓);강 이름
233	팽	?	平	庚	부리다;시키다;좇다;따르다;사자(使者)
234	포	佈	去	遇	펴다;전개하다;펼치다;퍼뜨리거나 알리다
235	필	?	入	質	점잖다;가득 차다;나란하다
236	하	何	平	歌	어찌;무엇;누구;어디;얼마;어느 정도;왜냐 하면;어찌 아니;꾸짖다
237	하	何	上	?	짐;지다;당하다;해당하다;걸다;내어 걸다
238	가	佳	平	佳	아름답다;좋다;훌륭하다;좋아하다;즐기다;크다
239	간	侃	上/去	旱/翰	강직하다;굳세고 바르다;화락하다
240	공	供	平/去	冬/宋	이바지하다;보내어 주다;공급하다;바치다;받들다;말하다;진술하다;공손하다;정중하다;공물(供物)
241	과	?	平	麻	자랑하다;뽐내다;지쳤을 때 내는 소리
242	광	侊	平	陽	성한 모양;큰 모양;푸짐한 모양
243	교	?	上	巧	예쁘다;아름답다;교활하다;속이다;어지럽다;어지러워지다
244	교	?	平	肴	사귀다;섞이다
245	궤	?	上	紙	괴이하다;괴상하다;속이다;포개다;중복되다;거스르다;어그러지다;의지하다;의존하다;거의;대부분
246	길	佶	入	質	건장하다;건장한 모양;바르다;굽다(曲);막히다
247	래	來	平	灰	오다;이르다(至);장래;미래;부르다;부터;~에서;보리;밀
248	래	來	去	隊	위로하다
249	례	例	去	霽	법식;관습;전고(典故);보기;본보기;예(例);실례(實例);다(모두);대부분
250	륜	侖	平	元/眞	둥글다;조리를 세우다;순서를 잡다;생각하다;빠지다
251	모	?	平	尤	가지런하다;고르다;힘쓰다;취하다;꾀하다;따르다;벌레 이름
252	미	?	上	紙	어루만지다
253	백	佰	入	陌	일백;백 사람;백 사람의 우두머리
254	사	使	上	紙	하여금;하게 하다;가령;시키다;부리다;좇다;따르다;멋대로 하다
255	사	使	去	?	사신;심부름하다;심부름시키다;심부름꾼;조정에서 파견된 벼슬아치
256	순	?	去	震	재빠르다;빠르다;깊다;외치다;따라 죽다
257	시	侍	去	?	모시다;받들다;귀인을 모시는 사람;기르다;양육하다;기다리다;부탁하다;믿다
258	신	侁	平	眞	걷는 모양;많은 모양
259	양	佯	平	陽	거짓;속임;~한 체하다;헤매다;어정거리다
260	유	侑	去	宥	권하다;돕다;갚다;보답하다;너그럽다;용서하다;앓는 소리
261	의	依	平	微	의지하다;기대다;돕다;믿다;사랑하다;비기다;견주다;나무가 무성한 모양
262	의	依	上	尾	병풍;편하다;편히 지내다;비유하다
263	이	?	平	支	무리;동아리;베풀어 놓다;모시어 놓다
264	이	?	去	?	버금;다음;도움;돕다
265	내	?	去	隊	성(姓)
266	일	佾	入	質	춤 줄(line)
267	전	佺	平	先	신선 이름
268	조	?	平	蕭	방정맞다;경망스럽다;미련하다;생각이 얕다;인정이 없다;박정하다;홀로 걷는 모양;왕래하는 모양;훔치다;도둑질하다
269	요	?	平	蕭	늦추다;걸다;걸치다
270	주	侏	平	虞	난쟁이;광대;배우;동자기둥;무도하다;버릇없다;속이다;거짓말하다
271	주	?	平	尤	속이다
272	질	侄	入	質	어리석다;굳다;단단하다;한 곳에 머무르다;조카
273	차	侘	去	?	실의하다;뽐내다;자랑하다
274	차	?	去	?	재빠르다;빠르다;버금;다음;돕다;번갈아;교대로;미치다
275	치	侈	上	紙	사치하다;사치;거만하다;분수에 넘다;넓다;크다;많다;무절제하다;난잡하다;떠나다;벗어나다
276	칙	?	入	職	조심하다;두려워하다
277	탁	?	入	藥	부탁하다;의지하다
278	통	?	平	東	크다;키가 크다;어리석다;유치하다;아프다;괴롭다;성(姓)
279	동	?	去	送	정성;거짓이 없음
280	패	佩	去	隊	차다;띠나 허리에 매달다;노리개;지니다;몸에 간직하다;마음에 새겨 두다
281	한	?	平	蒸	고을 이름
282	한	?	上	阮	어그러지다;어기다
283	해	?	平	灰	이상하다;기이하다;목이 메다;목이 막히다
284	혁	?	入	職	고요하다;쓸쓸하다
285	형	?	平	靑	이루다;성취하다;거푸집(型)
286	활	?	入	曷	이르다(至);다다르다;모이다;모으다;만나다
287	회	?	平	灰	어정거리다;배회하다;흐리멍텅하다
288	계	係	去	霽	걸리다;관계되다;잇다;묶다
289	광	?	上	養	허둥지둥하다
290	광	?	去	?	원행(遠行)하다;멀리 가다
291	구	?	平	尤	공손하다;정중하다;머리에 이다;입다
292	국	?	入	沃	죄어치다;다그치다;키가 작다
293	량	?	平	陽	잘하다;헤매다;떠돌다
294	려	侶	上	語	짝;벗;벗하다;함께 놀다;승려
295	리	?	去	?	똑똑하다;영리하다
296	리	俚	上	紙	속되다;촌스럽다;부탁하다;의뢰하다;속된 노래;시골
297	면	?	上	銑	힘쓰다;부지런히 일하는 모양;구푸리다;머리를 숙이다
298	부	?	上	?	구푸리다
299	모	侮	上	?	업신여기다;멸시하다;깔보다;얕보다;앓다;병들다
300	보	保	上	皓	지키다;보전하다;편안하게 하다;안심시키다;돕다;거들다;기르다;양육하다;맡기다;보증하다;시중들다;보호하다;살다;머무르다;의지하다;믿다;알다;심부름꾼;반(조합);성채;기저귀;포대기
301	보	?	上	?	돕다
302	부	?	平	虞	사로잡다;포로;벌(罰);가지다
303	빙	?	平	靑	비틀거리다;호협(豪俠)하다;협객
304	사	俟	上	紙	기다리다;기대하다;크다;성하다;떼를 지어 천천히 걷는 모양
305	기	俟	平	支	성(姓)
306	속	俗	入	沃	풍속;풍습;바라다;원하다;잇다;계승하다;보통;범용;속되다;비속하다;세상;세상 사람;출가하지 않은 사람
307	신	信	去	震	믿다;의심하지 않다;진실;성실;분명히 하다;밝히다;알다;표지;증표;부신;따르다;좇다;공경하다;존경하다;지키다;보전하다;맡기다;이틀을 머물다;심부름꾼;사자(使者);소식;편지
308	신	信	平	眞	펴다;말하다;진술하다;몸;신체
309	아	俄	平	歌	갑자기;별안간;기울다;기우는 모양;러시아;높다;높이다
310	오	俉	去	遇	맞이하다
311	용	俑	上	腫	허수아비;우인(偶人);아프다;괴롭다
312	우	?	上	?	얼굴이 크다
313	읍	?	入	緝	밭을 갈다;굳세다;용맹스럽다
314	정	?	上	?	긴 모양;꼿꼿하다;평평하다
315	조	俎	上	語	도마;적대;높은 대
316	좌	?	去/平	箇/歌	욕보이다;편안하다
317	준	俊	去	震	준걸;뛰어나다;걸출하다;크다;높다
318	진	?	去/平	震/眞	동자;어린이;착하다;여자 종
319	초	?	去	嘯	닮다;본뜨다;어여쁘다;어여쁜 모양
320	소	?	平	蕭	거문고를 타다;거문고 타는 소리
321	촉	促	入	沃	재촉하다;독촉하다;다가오다;급하다;이르다(至);궁지에 빠지다;좁다;빠르다;신속하다
322	착	促	入	覺	악착하다
323	침	侵	平	侵	침노하다;범하다;잠식하다;습격하다;업습하다;다치다;상하다;법을 어기다;흉년이 들다
324	침	侵	上	寢	초라하다;볼품없다;키가 작다
325	탈	?	入	曷	추하다;못생기다;합당하다;맞다;손쉽다;간편하다;벗다;벗어나다;가볍다;경박하다
326	편	便	平	先	편하다;형편이 좋다;소식;편지;편안하다;쉬다;익다;익숙하다;오줌;똥;똥오줌;곧;문득
327	편	便	去	霰	아첨하다;알랑거리다;구분하다;가르다
328	현	俔	上	銑	염탐하다;염탐꾼;간첩;풍향계;두려워하다
329	견	俔	去	霰	비유하다;비유
330	협	俠	入	葉	호협하다;협기가 있다;가볍다;경쾌하다;젊다;제멋대로 굴다;방자하다;미인;쾌하다;싱쾌하다;끼다;끼우다
331	협	俠	入	洽	곁;옆;끼고 서다
332	후	侯	平	尤	과녁;제후;임금;후작;왕성 밖 500리의 지역;찾아뵙다;안부를 여쭈다;이;이에;어찌;어느;무엇
333	희	?	平	微	소송하다;감동하다
334	개	個	去	箇	낱;개(개수)
335	거	倨	去	御	거만하다;뽐내다;책상다리하다;무릎을 꿇고 않다;멍하다;아무런 생각이 없다;곱자
336	경	倞	去	敬	굳세다;강하다;다투다;겨루다
337	량	倞	去	?/養	밝다;찾다;구하다
338	공	?	平	東	어리석다;어리석음
339	공	?	上	董	바쁘다;일에 몰리다
340	공	?	去	送	괴롭다;곤궁하다
341	관	?	去/平	諫/寒	수레몰이;벼슬;기생
342	구	俱	平	虞	함께;다(all);모두;함께 하다;같이 가다;갖추다;골고루 있다;같다;동일하다
343	굴	?	入	物	고집이 세다;고집이 센 모양;몸을 일으키다;입신하다;굽다;굽히다
344	권	倦	去	霰	게으르다;싫증나다;피로하다;고달프다;걸터앉다
345	기	?	平	支	탈;가면;속이다;속다
346	담	?	平	覃	고요하다;편안하다
347	담	?	去	勘	움직이다;두려워하다;재물로써 속죄하다
348	당	?	上	養	혹시;아마;갑자기 멈추는 모양
349	상	?	平	陽	어정거리다;배회하다
350	도	倒	上	皓	넘어지다;자빠지다;죽다
351	도	倒	去	號	거꾸로;거꾸로 하다;거스르다;반역하다
352	라	?	上	?	알몸;발가숭이;벌거벗다
353	과	?	上	?	좁다;넓지 않다
354	량	倆	去/上	?/養	재주;솜씨;재능;둘;두 사람
355	륜	倫	平	眞	인륜;도리;무리;또래;순서;차례;나뭇결
356	문	們	平	元/眞	들(복수);무리
357	방	倣	上	養	본뜨다;흉내 내다;준거하다;의지하다
358	배	倍	上	賄	곱;갑절;등지다;배반하다;더하다;증가하다;외다;암송하다;점점 더;더욱 더
359	배	俳	平	佳	광대;배우;장난;농담;익살;쇠퇴하다
360	배	俳	平	灰	어정거리다;배회하다
361	병	?	去	敬	아우르다;나란하다;다투다;경쟁하다;버리다
362	봉	俸	去	宋	녹(祿);봉급;급료
363	부	俯	上	?	부푸리다;구부리다;숨다;눕다
